,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
25,TXN_1072232,Sandwich,1,4.0,4.0,Digital Wallet,In-store,2023-01-07
26,TXN_1079241,Juice,3,3.0,9.0,Digital Wallet,Takeaway,2023-07-16
27,TXN_1080432,Salad,2,5.0,10.0,Credit Card,In-store,2023-04-29
28,TXN_1082421,Salad,1,5.0,5.0,Digital Wallet,In-store,2023-12-19
29,TXN_1084010,Smoothie,2,4.0,8.0,Credit Card,In-store,2023-08-11
30,TXN_1084222,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-06-03
31,TXN_1088497,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-07-05
32,TXN_1091115,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-11-04
33,TXN_1097334,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-03-21
34,TXN_1105589,Coffee,5,2.0,10.0,Cash,Takeaway,2023-07-04
35,TXN_1108663,Juice,3,3.0,9.0,Cash,Takeaway,2023-08-16
36,TXN_1116119,Smoothie,4,4.0,16.0,Digital Wallet,In-store,2023-08-07
37,TXN_1121833,Coffee,4,2.0,8.0,Credit Card,In-store,2023-03-16
38,TXN_1123138,Salad,1,5.0,5.0,Cash,In-store,2023-02-10
39,TXN_1124753,Salad,4,5.0,20.0,Digital Wallet,In-store,2023-10-19
40,TXN_1128577,Sandwich,1,4.0,4.0,Digital Wallet,In-store,2023-11-23
41,TXN_1130142,Cookie,1,1.0,1.0,Credit Card,In-store,2023-03-13
42,TXN_1130191,Smoothie,2,4.0,8.0,Cash,In-store,2023-04-06
43,TXN_1133945,Smoothie,2,4.0,8.0,Digital Wallet,In-store,2023-10-23
44,TXN_1142233,Tea,5,1.5,7.5,Digital Wallet,Takeaway,2023-09-01
45,TXN_1145592,Juice,1,3.0,3.0,Credit Card,Takeaway,2023-09-11
46,TXN_1148874,Cookie,1,1.0,1.0,Credit Card,In-store,2023-09-18
47,TXN_1150033,Juice,5,3.0,15.0,Cash,In-store,2023-04-18
48,TXN_1151605,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-05-02
49,TXN_1153869,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-11-03
50,TXN_1154979,Coffee,3,2.0,6.0,Credit Card,In-store,2023-12-11
51,TXN_1157817,Smoothie,1,4.0,4.0,Digital Wallet,In-store,2023-04-25
52,TXN_1161606,Sandwich,5,4.0,20.0,Credit Card,Takeaway,2023-09-20
53,TXN_1165779,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-06-30
54,TXN_1169615,Smoothie,5,4.0,20.0,Digital Wallet,In-store,2023-03-16
55,TXN_1170198,Tea,4,1.5,6.0,Credit Card,In-store,2023-02-09
56,TXN_1172121,Coffee,5,2.0,10.0,Cash,Takeaway,2023-08-26
57,TXN_1173155,Coffee,1,2.0,2.0,Cash,In-store,2023-03-14
58,TXN_1180397,Smoothie,3,4.0,12.0,Credit Card,Takeaway,2023-04-05
59,TXN_1183995,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-03-28
60,TXN_1186221,Salad,4,5.0,20.0,Cash,Takeaway,2023-04-21
61,TXN_1190402,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-12-01
62,TXN_1192970,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-06-17
63,TXN_1193221,Tea,3,1.5,4.5,Credit Card,In-store,2023-10-21
64,TXN_1196223,Juice,3,3.0,9.0,Digital Wallet,In-store,2023-10-14
65,TXN_1196324,Tea,4,1.5,6.0,Credit Card,In-store,2023-09-26
66,TXN_1208926,Cookie,4,1.0,4.0,Credit Card,In-store,2023-12-07
67,TXN_1209852,Cookie,2,1.0,2.0,Credit Card,In-store,2023-11-18
68,TXN_1213938,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-07-06
69,TXN_1216051,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-10-28
70,TXN_1217959,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-07-28
71,TXN_1220061,Sandwich,3,4.0,12.0,Digital Wallet,In-store,2023-09-03
72,TXN_1224087,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-03-20
73,TXN_1225638,Cake,4,3.0,12.0,Cash,Takeaway,2023-05-28
74,TXN_1227800,Juice,3,3.0,9.0,Cash,Takeaway,2023-02-19
75,TXN_1228888,Cookie,1,1.0,1.0,Credit Card,In-store,2023-10-05
76,TXN_1229376,Cake,3,3.0,9.0,Digital Wallet,In-store,2023-08-14
77,TXN_1231366,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-11-28
78,TXN_1231531,Coffee,5,2.0,10.0,Digital Wallet,In-store,2023-07-24
79,TXN_1232346,Salad,5,5.0,25.0,Digital Wallet,In-store,2023-01-04
80,TXN_1234390,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-06-02
81,TXN_1234907,Juice,1,3.0,3.0,Credit Card,In-store,2023-05-02
82,TXN_1235828,Tea,4,1.5,6.0,Cash,Takeaway,2023-02-19
83,TXN_1236759,Coffee,1,2.0,2.0,Credit Card,In-store,2023-01-26
84,TXN_1240476,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-04-20
85,TXN_1244299,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-07-18
86,TXN_1244509,Smoothie,3,4.0,12.0,Credit Card,In-store,2023-02-21
87,TXN_1244739,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-09-13
88,TXN_1247244,Sandwich,1,4.0,4.0,Digital Wallet,In-store,2023-12-27
89,TXN_1248266,Salad,3,5.0,15.0,Credit Card,In-store,2023-10-14
90,TXN_1248436,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-08-14
91,TXN_1250407,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-11-21
92,TXN_1252575,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-10-16
93,TXN_1256513,Coffee,4,2.0,8.0,Credit Card,In-store,2023-02-21
94,TXN_1260517,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-04-17
95,TXN_1268480,Salad,5,5.0,25.0,Cash,In-store,2023-04-18
96,TXN_1269252,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-07-18
97,TXN_1270603,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-12-03
98,TXN_1272118,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-04-21
99,TXN_1278539,Tea,1,1.5,1.5,Credit Card,Takeaway,2023-04-04
100,TXN_1281536,Smoothie,5,4.0,20.0,Digital Wallet,In-store,2023-03-19
101,TXN_1283149,Salad,2,5.0,10.0,Credit Card,In-store,2023-01-23
102,TXN_1285279,Coffee,2,2.0,4.0,Cash,Takeaway,2023-04-09
103,TXN_1292430,Smoothie,1,4.0,4.0,Credit Card,Takeaway,2023-03-09
104,TXN_1292476,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-07
105,TXN_1294101,Tea,5,1.5,7.5,Digital Wallet,Takeaway,2023-03-31
106,TXN_1307239,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-10-26
107,TXN_1315214,Tea,2,1.5,3.0,Digital Wallet,In-store,2023-11-03
108,TXN_1315847,Cake,1,3.0,3.0,Digital Wallet,In-store,2023-06-19
109,TXN_1317114,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-11-06
110,TXN_1322421,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-03-05
111,TXN_1324760,Tea,4,1.5,6.0,Cash,In-store,2023-01-18
112,TXN_1324968,Cookie,3,1.0,3.0,Credit Card,In-store,2023-01-05
113,TXN_1334406,Juice,1,3.0,3.0,Digital Wallet,In-store,2023-09-26
114,TXN_1335337,Tea,3,1.5,4.5,Credit Card,In-store,2023-09-06
115,TXN_1340358,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-06-09
116,TXN_1342359,Cake,4,3.0,12.0,Cash,Takeaway,2023-07-14
117,TXN_1343750,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-02-15
118,TXN_1346517,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-03-20
119,TXN_1349640,Juice,2,3.0,6.0,Credit Card,In-store,2023-06-17
120,TXN_1353266,Smoothie,1,4.0,4.0,Digital Wallet,Takeaway,2023-08-30
121,TXN_1354464,Cake,5,3.0,15.0,Digital Wallet,In-store,2023-03-18
122,TXN_1356599,Cookie,2,1.0,2.0,Cash,Takeaway,2023-12-14
123,TXN_1360998,Cookie,2,1.0,2.0,Cash,Takeaway,2023-07-30
124,TXN_1367003,Salad,5,5.0,25.0,Cash,In-store,2023-11-10
125,TXN_1368769,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-06-02
126,TXN_1372003,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-10-13
127,TXN_1372492,Salad,4,5.0,20.0,Cash,Takeaway,2023-03-28
128,TXN_1375992,Coffee,5,2.0,10.0,Credit Card,In-store,2023-03-23
129,TXN_1380601,Tea,4,1.5,6.0,Digital Wallet,In-store,2023-03-11
130,TXN_1387401,Cookie,4,1.0,4.0,Cash,In-store,2023-10-19
131,TXN_1388606,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-08-31
132,TXN_1389258,Salad,1,5.0,5.0,Cash,Takeaway,2023-12-31
133,TXN_1395083,Juice,1,3.0,3.0,Cash,In-store,2023-07-08
134,TXN_1396019,Coffee,4,2.0,8.0,Cash,In-store,2023-12-03
135,TXN_1398769,Smoothie,1,4.0,4.0,Cash,In-store,2023-06-02
136,TXN_1399696,Cake,5,3.0,15.0,Cash,In-store,2023-04-08
137,TXN_1408709,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-04-14
138,TXN_1410102,Salad,1,5.0,5.0,Cash,In-store,2023-06-23
139,TXN_1411473,Coffee,3,2.0,6.0,Credit Card,In-store,2023-01-04
140,TXN_1411744,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-09-17
141,TXN_1412415,Juice,3,3.0,9.0,Cash,In-store,2023-02-24
142,TXN_1413335,Salad,1,5.0,5.0,Digital Wallet,Takeaway,2023-05-17
143,TXN_1417291,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-05-11
144,TXN_1417400,Cookie,2,1.0,2.0,Cash,In-store,2023-03-20
145,TXN_1417871,Salad,3,5.0,15.0,Cash,Takeaway,2023-03-12
146,TXN_1419669,Cake,5,3.0,15.0,Cash,Takeaway,2023-03-07
147,TXN_1425215,Juice,1,3.0,3.0,Cash,Takeaway,2023-03-13
148,TXN_1434598,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-11-18
149,TXN_1436343,Cookie,1,1.0,1.0,Credit Card,In-store,2023-11-26
150,TXN_1436851,Sandwich,5,4.0,20.0,Cash,Takeaway,2023-07-28
151,TXN_1437083,Smoothie,2,4.0,8.0,Credit Card,In-store,2023-03-15
152,TXN_1438257,Salad,4,5.0,20.0,Credit Card,Takeaway,2023-06-13
153,TXN_1442096,Cookie,3,1.0,3.0,Credit Card,In-store,2023-06-27
154,TXN_1443201,Cookie,5,1.0,5.0,Credit Card,In-store,2023-10-03
155,TXN_1443928,Cake,4,3.0,12.0,Cash,Takeaway,2023-12-03
156,TXN_1444932,Smoothie,1,4.0,4.0,Cash,In-store,2023-05-24
157,TXN_1445532,Coffee,3,2.0,6.0,Cash,Takeaway,2023-03-03
158,TXN_1448501,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-09-10
159,TXN_1454467,Juice,3,3.0,9.0,Cash,In-store,2023-03-15
160,TXN_1458905,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-02-19
161,TXN_1460963,Coffee,3,2.0,6.0,Cash,In-store,2023-02-10
162,TXN_1461221,Salad,2,5.0,10.0,Cash,In-store,2023-04-30
163,TXN_1464150,Coffee,5,2.0,10.0,Cash,Takeaway,2023-02-14
164,TXN_1465584,Sandwich,1,4.0,4.0,Credit Card,In-store,2023-04-29
165,TXN_1469462,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-09-05
166,TXN_1474329,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-03-02
167,TXN_1477525,Salad,3,5.0,15.0,Cash,Takeaway,2023-11-06
168,TXN_1481116,Tea,2,1.5,3.0,Digital Wallet,In-store,2023-02-26
169,TXN_1482123,Coffee,1,2.0,2.0,Cash,In-store,2023-06-17
170,TXN_1488481,Coffee,4,2.0,8.0,Credit Card,Takeaway,2023-07-28
171,TXN_1489194,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-07-18
172,TXN_1489746,Cookie,3,1.0,3.0,Digital Wallet,In-store,2023-12-18
173,TXN_1491299,Juice,2,3.0,6.0,Credit Card,In-store,2023-02-27
174,TXN_1491670,Juice,5,3.0,15.0,Credit Card,Takeaway,2023-06-28
175,TXN_1494608,Tea,3,1.5,4.5,Credit Card,In-store,2023-05-07
176,TXN_1498343,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-03-31
177,TXN_1503903,Tea,1,1.5,1.5,Cash,Takeaway,2023-03-20
178,TXN_1505837,Sandwich,3,4.0,12.0,Credit Card,In-store,2023-12-15
179,TXN_1505875,Smoothie,4,4.0,16.0,Cash,Takeaway,2023-05-17
180,TXN_1512118,Salad,4,5.0,20.0,Cash,In-store,2023-03-01
181,TXN_1512159,Cake,2,3.0,6.0,Credit Card,In-store,2023-11-25
182,TXN_1512185,Coffee,4,2.0,8.0,Cash,Takeaway,2023-06-16
183,TXN_1514364,Coffee,5,2.0,10.0,Digital Wallet,In-store,2023-01-21
184,TXN_1516961,Sandwich,3,4.0,12.0,Credit Card,Takeaway,2023-11-01
185,TXN_1522122,Cookie,5,1.0,5.0,Credit Card,In-store,2023-02-14
186,TXN_1526864,Smoothie,3,4.0,12.0,Digital Wallet,In-store,2023-01-27
187,TXN_1529845,Juice,3,3.0,9.0,Credit Card,In-store,2023-01-25
188,TXN_1533652,Tea,3,1.5,4.5,Cash,In-store,2023-08-17
189,TXN_1534763,Cookie,2,1.0,2.0,Cash,Takeaway,2023-09-17
190,TXN_1542042,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-07-26
191,TXN_1547704,Coffee,5,2.0,10.0,Cash,In-store,2023-02-14
192,TXN_1556046,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-04-09
193,TXN_1556708,Smoothie,1,4.0,4.0,Digital Wallet,Takeaway,2023-06-11
194,TXN_1564506,Smoothie,5,4.0,20.0,Digital Wallet,In-store,2023-02-01
195,TXN_1564754,Salad,3,5.0,15.0,Digital Wallet,In-store,2023-03-14
196,TXN_1566564,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-09-08
197,TXN_1569729,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-07-16
198,TXN_1570573,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-04-09
199,TXN_1571824,Cookie,4,1.0,4.0,Cash,Takeaway,2023-10-16
200,TXN_1576076,Coffee,3,2.0,6.0,Cash,Takeaway,2023-10-07
201,TXN_1577802,Juice,2,3.0,6.0,Credit Card,In-store,2023-11-29
202,TXN_1578981,Cake,1,3.0,3.0,Cash,In-store,2023-05-15
203,TXN_1579182,Juice,5,3.0,15.0,Cash,In-store,2023-02-20
204,TXN_1581562,Coffee,2,2.0,4.0,Cash,In-store,2023-01-01
205,TXN_1583597,Salad,1,5.0,5.0,Cash,In-store,2023-05-10
206,TXN_1585827,Cake,3,3.0,9.0,Credit Card,In-store,2023-09-30
207,TXN_1588687,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-08-22
208,TXN_1591640,Cake,2,3.0,6.0,Cash,In-store,2023-05-26
209,TXN_1599516,Juice,3,3.0,9.0,Cash,In-store,2023-05-11
210,TXN_1602799,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-03-23
211,TXN_1605048,Cake,4,3.0,12.0,Cash,Takeaway,2023-03-16
212,TXN_1606273,Coffee,1,2.0,2.0,Digital Wallet,Takeaway,2023-11-02
213,TXN_1607471,Sandwich,2,4.0,8.0,Credit Card,Takeaway,2023-01-03
214,TXN_1610137,Coffee,3,2.0,6.0,Cash,Takeaway,2023-04-02
215,TXN_1617476,Cake,2,3.0,6.0,Digital Wallet,In-store,2023-02-10
216,TXN_1622123,Cookie,2,1.0,2.0,Cash,Takeaway,2023-01-05
217,TXN_1625754,Cake,5,3.0,15.0,Digital Wallet,In-store,2023-08-03
218,TXN_1630051,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-03-17
219,TXN_1633607,Juice,1,3.0,3.0,Cash,Takeaway,2023-03-13
220,TXN_1643870,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-10-07
221,TXN_1645743,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-07-02
222,TXN_1647069,Sandwich,1,4.0,4.0,Credit Card,Takeaway,2023-04-06
223,TXN_1648671,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-05-21
224,TXN_1655100,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-12-20
225,TXN_1660104,Smoothie,2,4.0,8.0,Credit Card,Takeaway,2023-02-04
226,TXN_1660757,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-11-08
227,TXN_1661068,Salad,3,5.0,15.0,Cash,Takeaway,2023-04-09
228,TXN_1663113,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-12-24
229,TXN_1665810,Sandwich,5,4.0,20.0,Digital Wallet,In-store,2023-02-26
230,TXN_1670597,Coffee,2,2.0,4.0,Cash,Takeaway,2023-05-21
231,TXN_1672443,Coffee,1,2.0,2.0,Credit Card,Takeaway,2023-10-03
232,TXN_1678985,Juice,2,3.0,6.0,Cash,In-store,2023-07-16
233,TXN_1679800,Smoothie,4,4.0,16.0,Cash,In-store,2023-10-17
234,TXN_1681153,Juice,3,3.0,9.0,Cash,Takeaway,2023-02-09
235,TXN_1686323,Smoothie,4,4.0,16.0,Digital Wallet,In-store,2023-11-30
236,TXN_1691313,Sandwich,2,4.0,8.0,Digital Wallet,Takeaway,2023-03-17
237,TXN_1696300,Cookie,1,1.0,1.0,Digital Wallet,In-store,2023-05-28
238,TXN_1696813,Cookie,3,1.0,3.0,Cash,In-store,2023-04-02
239,TXN_1697018,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-07-02
240,TXN_1697299,Smoothie,3,4.0,12.0,Cash,In-store,2023-10-08
241,TXN_1698600,Salad,4,5.0,20.0,Cash,Takeaway,2023-07-31
242,TXN_1700027,Smoothie,4,4.0,16.0,Digital Wallet,In-store,2023-06-04
243,TXN_1701798,Coffee,2,2.0,4.0,Cash,Takeaway,2023-07-24
244,TXN_1702437,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-06-27
245,TXN_1706201,Coffee,3,2.0,6.0,Credit Card,In-store,2023-08-23
246,TXN_1707251,Sandwich,2,4.0,8.0,Digital Wallet,Takeaway,2023-10-06
247,TXN_1710476,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-05-22
248,TXN_1713983,Salad,2,5.0,10.0,Cash,In-store,2023-05-11
249,TXN_1714348,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-12-31
250,TXN_1714471,Juice,4,3.0,12.0,Cash,Takeaway,2023-08-17
251,TXN_1719440,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-07-13
252,TXN_1721342,Smoothie,5,4.0,20.0,Digital Wallet,In-store,2023-08-23
253,TXN_1721366,Smoothie,5,4.0,20.0,Digital Wallet,In-store,2023-04-09
254,TXN_1724233,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-02-01
255,TXN_1728644,Coffee,1,2.0,2.0,Cash,Takeaway,2023-04-07
256,TXN_1730647,Juice,5,3.0,15.0,Digital Wallet,In-store,2023-01-18
257,TXN_1730850,Juice,2,3.0,6.0,Cash,Takeaway,2023-12-15
258,TXN_1731476,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-04-19
259,TXN_1732216,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-08-30
260,TXN_1733916,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-01-12
261,TXN_1738607,Juice,2,3.0,6.0,Credit Card,In-store,2023-01-17
262,TXN_1740742,Tea,4,1.5,6.0,Digital Wallet,In-store,2023-10-06
263,TXN_1741325,Tea,2,1.5,3.0,Credit Card,In-store,2023-03-31
264,TXN_1749105,Sandwich,5,4.0,20.0,Cash,In-store,2023-10-17
265,TXN_1755817,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-07-17
266,TXN_1757340,Cake,2,3.0,6.0,Credit Card,In-store,2023-12-29
267,TXN_1759063,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-09-09
268,TXN_1760092,Coffee,1,2.0,2.0,Credit Card,Takeaway,2023-04-15
269,TXN_1765281,Smoothie,3,4.0,12.0,Credit Card,In-store,2023-01-28
270,TXN_1767872,Salad,2,5.0,10.0,Credit Card,In-store,2023-01-05
271,TXN_1773873,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-06-10
272,TXN_1775278,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-02-22
273,TXN_1778707,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-03-26
274,TXN_1781777,Salad,3,5.0,15.0,Credit Card,Takeaway,2023-10-26
275,TXN_1792405,Tea,3,1.5,4.5,Digital Wallet,Takeaway,2023-07-06
276,TXN_1792573,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-12-07
277,TXN_1797690,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-08-10
278,TXN_1811216,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-01-18
279,TXN_1815061,Cake,3,3.0,9.0,Digital Wallet,In-store,2023-01-20
280,TXN_1817275,Salad,2,5.0,10.0,Cash,In-store,2023-09-02
281,TXN_1823906,Salad,3,5.0,15.0,Digital Wallet,In-store,2023-06-26
282,TXN_1824506,Cake,1,3.0,3.0,Cash,In-store,2023-03-02
283,TXN_1826919,Juice,4,3.0,12.0,Credit Card,In-store,2023-02-21
284,TXN_1828494,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-07-21
285,TXN_1830432,Cookie,3,1.0,3.0,Digital Wallet,Takeaway,2023-11-02
286,TXN_1836754,Tea,1,1.5,1.5,Credit Card,In-store,2023-09-10
287,TXN_1837764,Tea,3,1.5,4.5,Cash,In-store,2023-07-30
288,TXN_1841204,Salad,3,5.0,15.0,Digital Wallet,In-store,2023-04-18
289,TXN_1846004,Juice,3,3.0,9.0,Cash,In-store,2023-05-21
290,TXN_1850339,Cookie,5,1.0,5.0,Cash,Takeaway,2023-01-17
291,TXN_1851725,Cake,5,3.0,15.0,Cash,Takeaway,2023-02-19
292,TXN_1853983,Tea,1,1.5,1.5,Cash,In-store,2023-12-04
293,TXN_1854102,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-07-18
294,TXN_1861717,Tea,2,1.5,3.0,Cash,In-store,2023-11-10
295,TXN_1865302,Cookie,5,1.0,5.0,Credit Card,In-store,2023-08-16
296,TXN_1865735,Smoothie,2,4.0,8.0,Digital Wallet,In-store,2023-09-22
297,TXN_1866028,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-06-12
298,TXN_1867158,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-05-16
299,TXN_1869814,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-05-24
300,TXN_1870303,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-05-05
301,TXN_1870423,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-04-12
302,TXN_1872692,Salad,5,5.0,25.0,Cash,In-store,2023-08-09
303,TXN_1875220,Tea,3,1.5,4.5,Cash,In-store,2023-03-07
304,TXN_1882700,Tea,3,1.5,4.5,Digital Wallet,In-store,2023-04-18
305,TXN_1884923,Coffee,4,2.0,8.0,Digital Wallet,Takeaway,2023-05-11
306,TXN_1887522,Sandwich,4,4.0,16.0,Cash,In-store,2023-02-20
307,TXN_1887555,Juice,2,3.0,6.0,Cash,In-store,2023-01-08
308,TXN_1891141,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-10-25
309,TXN_1891978,Salad,4,5.0,20.0,Digital Wallet,In-store,2023-09-13
310,TXN_1893222,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-12-20
311,TXN_1894142,Sandwich,4,4.0,16.0,Cash,In-store,2023-09-13
312,TXN_1898102,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-10-17
313,TXN_1898329,Cake,5,3.0,15.0,Cash,In-store,2023-04-12
314,TXN_1899114,Tea,3,1.5,4.5,Digital Wallet,Takeaway,2023-04-05
315,TXN_1899827,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-06-24
316,TXN_1903825,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-04-01
317,TXN_1907428,Juice,4,3.0,12.0,Credit Card,In-store,2023-06-06
318,TXN_1911093,Tea,2,1.5,3.0,Digital Wallet,In-store,2023-10-07
319,TXN_1916339,Cake,1,3.0,3.0,Cash,In-store,2023-07-15
320,TXN_1917336,Sandwich,3,4.0,12.0,Cash,In-store,2023-04-12
321,TXN_1921415,Cake,1,3.0,3.0,Cash,Takeaway,2023-11-03
322,TXN_1923263,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-03-12
323,TXN_1923984,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-08-31
